instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,iterations,time,time_limit,seed,feasible,mode,status,error,wall_time
M-n151-k12,M,cvrplib/M/M-n151-k12.vrp,151,1015.0,12,1095.0,7.8817733990147785,12,3,1.2305855569993582,1.0,0,True,clarke_wright_alns_vns,ok,,1.360157031000199
P-n101-k4,P,cvrplib/P/P-n101-k4.vrp,101,681.0,4,701.0,2.936857562408223,4,16,1.0162458189997778,1.0,0,True,clarke_wright_alns_vns,ok,,1.0810055129995817
M-n200-k17,M,cvrplib/M/M-n200-k17.vrp,200,1275.0,17,1357.0,6.431372549019608,17,2,1.3384980069995436,1.0,0,True,clarke_wright_alns_vns,ok,,1.4053353669996795
P-n16-k8,P,cvrplib/P/P-n16-k8.vrp,16,450.0,8,450.0,0.0,8,2080,1.0002281209999637,1.0,0,True,clarke_wright_alns_vns,ok,,1.0633405899998252
P-n19-k2,P,cvrplib/P/P-n19-k2.vrp,19,212.0,2,212.0,0.0,2,2443,1.0005266640000627,1.0,0,True,clarke_wright_alns_vns,ok,,1.0603881110000657
P-n20-k2,P,cvrplib/P/P-n20-k2.vrp,20,216.0,2,216.0,0.0,2,2070,1.0002997009996761,1.0,0,True,clarke_wright_alns_vns,ok,,1.0600379409997913
P-n21-k2,P,cvrplib/P/P-n21-k2.vrp,21,211.0,2,211.0,0.0,2,1554,1.0002738160001172,1.0,0,True,clarke_wright_alns_vns,ok,,1.0617661810001664
P-n22-k2,P,cvrplib/P/P-n22-k2.vrp,22,216.0,2,216.0,0.0,2,1589,1.0001994790000026,1.0,0,True,clarke_wright_alns_vns,ok,,1.0965364939993378
P-n22-k8,P,cvrplib/P/P-n22-k8.vrp,22,603.0,8,603.0,0.0,8,1085,1.0008253550004156,1.0,0,True,clarke_wright_alns_vns,ok,,1.059077390999846
P-n23-k8,P,cvrplib/P/P-n23-k8.vrp,23,529.0,8,529.0,0.0,8,949,1.0005601800003205,1.0,0,True,clarke_wright_alns_vns,ok,,1.1534231309997267
P-n40-k5,P,cvrplib/P/P-n40-k5.vrp,40,458.0,5,458.0,0.0,5,246,1.0008931820002545,1.0,0,True,clarke_wright_alns_vns,ok,,1.0947785739999745
P-n50-k10,P,cvrplib/P/P-n50-k10.vrp,50,696.0,10,700.0,0.5747126436781609,10,155,1.006384356000126,1.0,0,True,clarke_wright_alns_vns,ok,,1.075339790999351
P-n45-k5,P,cvrplib/P/P-n45-k5.vrp,45,510.0,5,510.0,0.0,5,203,1.0010765300003186,1.0,0,True,clarke_wright_alns_vns,ok,,1.1370638139997027
P-n50-k7,P,cvrplib/P/P-n50-k7.vrp,50,554.0,7,558.0,0.7220216606498195,7,138,1.0005164630001673,1.0,0,True,clarke_wright_alns_vns,ok,,1.0718529239993586
P-n50-k8,P,cvrplib/P/P-n50-k8.vrp,50,631.0,8,791.0,25.356576862123614,8,71,1.020265424000172,1.0,0,True,clarke_wright_alns_vns,ok,,1.158625177000431
P-n51-k10,P,cvrplib/P/P-n51-k10.vrp,51,741.0,10,758.0,2.2941970310391366,10,159,1.0000961619998634,1.0,0,True,clarke_wright_alns_vns,ok,,1.060878321999553
P-n55-k15,P,cvrplib/P/P-n55-k15.vrp,,,,,,,,,,0,,,error,ValueError: Unable to pack customer 42 into 15 routes,0.06340829100008705
P-n55-k10,P,cvrplib/P/P-n55-k10.vrp,55,694.0,10,702.0,1.1527377521613833,10,94,1.0029336249999687,1.0,0,True,clarke_wright_alns_vns,ok,,1.080017797000437
P-n55-k7,P,cvrplib/P/P-n55-k7.vrp,55,568.0,7,577.0,1.584507042253521,7,88,1.0100757480004177,1.0,0,True,clarke_wright_alns_vns,ok,,1.0843730890001098
P-n55-k8,P,cvrplib/P/P-n55-k8.vrp,55,588.0,8,577.0,-1.870748299319728,7,119,1.0033016079996742,1.0,0,True,clarke_wright_alns_vns,ok,,1.0574354459995448
P-n60-k10,P,cvrplib/P/P-n60-k10.vrp,60,744.0,10,744.0,0.0,10,98,1.0171128990004945,1.0,0,True,clarke_wright_alns_vns,ok,,1.0861486849998983
P-n60-k15,P,cvrplib/P/P-n60-k15.vrp,60,968.0,15,980.0,1.2396694214876034,15,69,1.0062846170003468,1.0,0,True,clarke_wright_alns_vns,ok,,1.0708835979994547
P-n65-k10,P,cvrplib/P/P-n65-k10.vrp,65,792.0,10,816.0,3.0303030303030303,10,54,1.000338525999723,1.0,0,True,clarke_wright_alns_vns,ok,,1.139282462000665
P-n70-k10,P,cvrplib/P/P-n70-k10.vrp,70,827.0,10,868.0,4.957678355501813,10,44,1.0026431920005052,1.0,0,True,clarke_wright_alns_vns,ok,,1.0851854269994874
P-n76-k4,P,cvrplib/P/P-n76-k4.vrp,76,593.0,4,620.0,4.5531197301854975,4,72,1.0034055699998135,1.0,0,True,clarke_wright_alns_vns,ok,,1.0730394260008325
P-n76-k5,P,cvrplib/P/P-n76-k5.vrp,76,627.0,5,647.0,3.1897926634768736,5,54,1.045261059999575,1.0,0,True,clarke_wright_alns_vns,ok,,1.175927602000229
X-n1001-k43,X,cvrplib/X/X-n1001-k43.vrp,1001,72355.0,43,77183.0,6.672655656139866,43,0,1.0320504470000742,1.0,0,True,clarke_wright_construction_only,ok,,1.1743409769997015
X-n101-k25,X,cvrplib/X/X-n101-k25.vrp,101,27591.0,26,29485.0,6.864557283172049,26,11,1.03576635599984,1.0,0,True,clarke_wright_alns_vns,ok,,1.1521185540004808
X-n106-k14,X,cvrplib/X/X-n106-k14.vrp,106,26362.0,14,26874.0,1.942189515211289,14,5,1.1714137930002835,1.0,0,True,clarke_wright_alns_vns,ok,,1.2927572850003344
X-n110-k13,X,cvrplib/X/X-n110-k13.vrp,110,14971.0,13,15523.0,3.6871284483334446,13,8,1.0110254880000866,1.0,0,True,clarke_wright_alns_vns,ok,,1.1298424040005557
X-n115-k10,X,cvrplib/X/X-n115-k10.vrp,115,12747.0,10,14083.0,10.480897466070447,10,5,1.0054078450002635,1.0,0,True,clarke_wright_alns_vns,ok,,1.0672860049999144
X-n120-k6,X,cvrplib/X/X-n120-k6.vrp,120,13332.0,6,14250.0,6.885688568856886,6,5,1.0878903029997673,1.0,0,True,clarke_wright_alns_vns,ok,,1.2242634710000857
X-n125-k30,X,cvrplib/X/X-n125-k30.vrp,125,55539.0,30,58843.0,5.94897279389258,30,9,1.1452060620003977,1.0,0,True,clarke_wright_alns_vns,ok,,1.2093005369997627
X-n129-k18,X,cvrplib/X/X-n129-k18.vrp,129,28940.0,18,30088.0,3.9668279198341394,18,7,1.0842774339998869,1.0,0,True,clarke_wright_alns_vns,ok,,1.1627181789999668
X-n134-k13,X,cvrplib/X/X-n134-k13.vrp,134,10916.0,13,12594.0,15.371931110296813,13,3,1.1728879520005648,1.0,0,True,clarke_wright_alns_vns,ok,,1.2440940240003329
X-n139-k10,X,cvrplib/X/X-n139-k10.vrp,139,13590.0,10,14386.0,5.857247976453275,10,6,1.2637616319998415,1.0,0,True,clarke_wright_alns_vns,ok,,1.341784760000337
X-n143-k7,X,cvrplib/X/X-n143-k7.vrp,143,15700.0,7,17433.0,11.038216560509555,7,6,1.0199504370002614,1.0,0,True,clarke_wright_alns_vns,ok,,1.117985220999799
X-n148-k46,X,cvrplib/X/X-n148-k46.vrp,148,43448.0,47,45525.0,4.780427177315412,47,3,1.1188906799998222,1.0,0,True,clarke_wright_alns_vns,ok,,1.1789790700004232
X-n153-k22,X,cvrplib/X/X-n153-k22.vrp,153,21220.0,23,23748.0,11.913289349670123,23,2,1.213258773999769,1.0,0,True,clarke_wright_alns_vns,ok,,1.2785548840001866
X-n157-k13,X,cvrplib/X/X-n157-k13.vrp,157,16876.0,13,17641.0,4.533064707276606,13,1,1.4226360290003868,1.0,0,True,clarke_wright_alns_vns,ok,,1.4884584589999577
X-n162-k11,X,cvrplib/X/X-n162-k11.vrp,162,14138.0,11,15264.0,7.964351393407837,11,3,1.1650910159996783,1.0,0,True,clarke_wright_alns_vns,ok,,1.2255291249994116
X-n167-k10,X,cvrplib/X/X-n167-k10.vrp,167,20557.0,10,21716.0,5.637982195845697,10,2,1.0467677629994796,1.0,0,True,clarke_wright_alns_vns,ok,,1.214086171999952
X-n172-k51,X,cvrplib/X/X-n172-k51.vrp,172,45607.0,53,50927.0,11.664876005876291,52,1,1.042338182000094,1.0,0,True,clarke_wright_alns_vns,ok,,1.1885291320004399
X-n176-k26,X,cvrplib/X/X-n176-k26.vrp,176,47812.0,26,52652.0,10.122981678239773,26,1,1.4417258880002919,1.0,0,True,clarke_wright_alns_vns,ok,,1.5148004909997326
