instance,subset,path,dimension,bks,bks_routes,cost,gap_pct,routes,route_gap,iterations,time,time_limit,seed,feasible,benchmark_feasible,mode,status,error,wall_time
XML100_3113_26,XML,cvrplib/XML/XML100_3113_26.vrp,101,,,20436.0,,10,,0,0.005774893999841879,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08245002100011334
XML100_3114_01,XML,cvrplib/XML/XML100_3114_01.vrp,101,,,19018.0,,9,,0,0.005825227999594063,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08103484500043123
XML100_3114_02,XML,cvrplib/XML/XML100_3114_02.vrp,101,,,18591.0,,8,,0,0.005949211000370269,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08053378400018119
XML100_3114_03,XML,cvrplib/XML/XML100_3114_03.vrp,101,,,18671.0,,8,,0,0.005882890000066254,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08023974600018846
XML100_3114_04,XML,cvrplib/XML/XML100_3114_04.vrp,101,,,16519.0,,8,,0,0.004235802000039257,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08042813400061277
XML100_3114_05,XML,cvrplib/XML/XML100_3114_05.vrp,101,,,16751.0,,7,,0,0.004315365999900678,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08305340900005831
XML100_3114_06,XML,cvrplib/XML/XML100_3114_06.vrp,101,,,19115.0,,9,,0,0.0059689789995900355,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08219847100008337
XML100_3114_07,XML,cvrplib/XML/XML100_3114_07.vrp,101,,,19849.0,,9,,0,0.004890531999990344,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07968385300046066
XML100_3114_08,XML,cvrplib/XML/XML100_3114_08.vrp,101,,,16742.0,,7,,0,0.005024465999667882,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07603373100027966
XML100_3114_09,XML,cvrplib/XML/XML100_3114_09.vrp,101,,,17730.0,,9,,0,0.006129234000582073,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08138441299979604
XML100_3114_10,XML,cvrplib/XML/XML100_3114_10.vrp,101,,,17177.0,,8,,0,0.005415722000179812,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07809298600022885
XML100_3114_11,XML,cvrplib/XML/XML100_3114_11.vrp,101,,,17351.0,,8,,0,0.005924428000071202,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07732272100020054
XML100_3114_12,XML,cvrplib/XML/XML100_3114_12.vrp,101,,,20583.0,,9,,0,0.00418355999954656,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07067390399970463
XML100_3114_13,XML,cvrplib/XML/XML100_3114_13.vrp,101,,,18176.0,,8,,0,0.004955076999976882,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08286361000045872
XML100_3114_14,XML,cvrplib/XML/XML100_3114_14.vrp,101,,,17339.0,,8,,0,0.00418020799952501,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07965517600041494
XML100_3114_15,XML,cvrplib/XML/XML100_3114_15.vrp,101,,,18547.0,,9,,0,0.004295931000342534,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07799317499939207
XML100_3114_16,XML,cvrplib/XML/XML100_3114_16.vrp,101,,,17151.0,,8,,0,0.00582529599978443,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07674378699994122
XML100_3114_17,XML,cvrplib/XML/XML100_3114_17.vrp,101,,,17820.0,,9,,0,0.005908625999836659,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0760552159999861
XML100_3114_18,XML,cvrplib/XML/XML100_3114_18.vrp,101,,,17379.0,,8,,0,0.004487750999942364,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07201439700020273
XML100_3114_19,XML,cvrplib/XML/XML100_3114_19.vrp,101,,,17740.0,,8,,0,0.006142526999610709,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08041908399991371
XML100_3114_20,XML,cvrplib/XML/XML100_3114_20.vrp,101,,,16914.0,,8,,0,0.00684150800043426,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07655011199949513
XML100_3114_21,XML,cvrplib/XML/XML100_3114_21.vrp,101,,,16458.0,,8,,0,0.004269385000043258,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0733239360006337
XML100_3114_22,XML,cvrplib/XML/XML100_3114_22.vrp,101,,,17269.0,,8,,0,0.005099693999909505,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07536157200047455
XML100_3114_23,XML,cvrplib/XML/XML100_3114_23.vrp,101,,,19323.0,,9,,0,0.005889609000405471,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07682431299963355
XML100_3114_24,XML,cvrplib/XML/XML100_3114_24.vrp,101,,,16842.0,,7,,0,0.004259602999809431,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07923438499983604
XML100_3114_25,XML,cvrplib/XML/XML100_3114_25.vrp,101,,,17680.0,,8,,0,0.006133353000222996,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07542730099976325
XML100_3114_26,XML,cvrplib/XML/XML100_3114_26.vrp,101,,,18563.0,,8,,0,0.00524935299927165,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07633358700059034
XML100_3115_01,XML,cvrplib/XML/XML100_3115_01.vrp,101,,,13012.0,,5,,0,0.0061019670001769555,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08201770000050601
XML100_3115_02,XML,cvrplib/XML/XML100_3115_02.vrp,101,,,15261.0,,6,,0,0.006846536000011838,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0792472880002606
XML100_3115_03,XML,cvrplib/XML/XML100_3115_03.vrp,101,,,15629.0,,6,,0,0.005012521000026027,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07754992599984689
XML100_3115_04,XML,cvrplib/XML/XML100_3115_04.vrp,101,,,14496.0,,5,,0,0.008968705000370392,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07891186500000913
XML100_3115_05,XML,cvrplib/XML/XML100_3115_05.vrp,101,,,13625.0,,5,,0,0.0044909609996466315,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07670723899991572
XML100_3115_06,XML,cvrplib/XML/XML100_3115_06.vrp,101,,,12775.0,,5,,0,0.0042765979997057,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07733514800020203
XML100_3115_07,XML,cvrplib/XML/XML100_3115_07.vrp,101,,,14676.0,,6,,0,0.00467149900032382,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07972366000012698
XML100_3115_08,XML,cvrplib/XML/XML100_3115_08.vrp,101,,,14611.0,,6,,0,0.00620396499925846,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07423475100040378
XML100_3115_09,XML,cvrplib/XML/XML100_3115_09.vrp,101,,,15672.0,,7,,0,0.005510746000254585,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0811372369998935
XML100_3115_10,XML,cvrplib/XML/XML100_3115_10.vrp,101,,,14802.0,,6,,0,0.004897124000308395,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07578243299940368
XML100_3115_11,XML,cvrplib/XML/XML100_3115_11.vrp,101,,,13986.0,,5,,0,0.006053145000805671,0.0,0,True,True,clarke_wright_construction_only,ok,,0.0805254100005186
XML100_3115_12,XML,cvrplib/XML/XML100_3115_12.vrp,101,,,13395.0,,5,,0,0.004261590000169235,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07816810000076657
XML100_3115_14,XML,cvrplib/XML/XML100_3115_14.vrp,101,,,14116.0,,5,,0,0.006179442000757263,0.0,0,True,True,clarke_wright_construction_only,ok,,0.07361631799994939
XML100_3115_13,XML,cvrplib/XML/XML100_3115_13.vrp,101,,,13616.0,,5,,0,0.006073096000363876,0.0,0,True,True,clarke_wright_construction_only,ok,,0.08160836800016114
