instance,subset,dimension,runs,bks,bks_routes,route_gap,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n1701-k562,XL,1701,1,,,,760549.0,,,,0.0,760549.0,0.0,0.00219660900074814,0.0,full_experiment_seed0_final.csv,
X-n1748-k271,XL,1748,1,,,,310419.0,,,,0.0,310419.0,0.0,0.0019660549996842747,0.0,full_experiment_seed0_final.csv,
X-n1794-k163,XL,1794,1,,,,376700.0,,,,0.0,376700.0,0.0,0.0019300579997434397,0.0,full_experiment_seed0_final.csv,
X-n181-k23,X,181,1,25569.0,23,0,26149.0,2.268371856545035,2.268371856545035,2.268371856545035,0.0,26149.0,0.0,3.7291401100001167,1.0,full_experiment_seed0_final.csv,
X-n1841-k126,XL,1841,1,,,,663695.0,,,,0.0,663695.0,0.0,0.0019154130004608305,0.0,full_experiment_seed0_final.csv,
X-n186-k15,X,186,1,24145.0,15,0,25391.0,5.160488714019466,5.160488714019466,5.160488714019466,0.0,25391.0,0.0,1.5376802729997507,1.0,full_experiment_seed0_final.csv,
X-n1888-k82,XL,1888,1,,,,679418.0,,,,0.0,679418.0,0.0,0.0026961969997501,0.0,full_experiment_seed0_final.csv,
X-n190-k8,X,190,1,16980.0,8,0,17876.0,5.276796230859835,5.276796230859835,5.276796230859835,0.0,17876.0,0.0,1.0168026920000557,4.0,full_experiment_seed0_final.csv,
X-n1934-k46,XL,1934,1,,,,204437.0,,,,0.0,204437.0,0.0,0.0020322720001786365,0.0,full_experiment_seed0_final.csv,
X-n1981-k13,XL,1981,1,,,,253373.0,,,,0.0,253373.0,0.0,0.0023029749991110293,0.0,full_experiment_seed0_final.csv,
X-n2028-k617,XL,2028,1,,,,761677.0,,,,0.0,761677.0,0.0,0.0025121660000877455,0.0,full_experiment_seed0_final.csv,
X-n204-k19,X,204,1,19565.0,19,0,21260.0,8.663429593662151,8.663429593662151,8.663429593662151,0.0,21260.0,0.0,1.0451085820004664,11.0,full_experiment_seed0_final.csv,
X-n2074-k264,XL,2074,1,,,,1016108.0,,,,0.0,1016108.0,0.0,0.0021847130001333426,0.0,full_experiment_seed0_final.csv,
X-n209-k16,X,209,1,30656.0,16,0,32510.0,6.047755741127349,6.047755741127349,6.047755741127349,0.0,32510.0,0.0,1.111813080000502,9.0,full_experiment_seed0_final.csv,
X-n2121-k186,XL,2121,1,,,,780221.0,,,,0.0,780221.0,0.0,0.0024681459999555955,0.0,full_experiment_seed0_final.csv,
X-n2168-k138,XL,2168,1,,,,415940.0,,,,0.0,415940.0,0.0,0.0022625269994023256,0.0,full_experiment_seed0_final.csv,
X-n219-k73,X,219,1,117595.0,73,0,118364.0,0.6539393681704154,0.6539393681704154,0.6539393681704154,0.0,118364.0,0.0,1.0466397279997182,13.0,full_experiment_seed0_final.csv,
X-n2214-k131,XL,2214,1,,,,389352.0,,,,0.0,389352.0,0.0,0.002234129000498797,0.0,full_experiment_seed0_final.csv,
X-n2261-k54,XL,2261,1,,,,632543.0,,,,0.0,632543.0,0.0,0.0021001980003347853,0.0,full_experiment_seed0_final.csv,
