instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
X-n2401-k408,XL,2401,1,,,911021.0,,,,0.0,911021.0,0.0,0.0026151759998356283,0.0,full_experiment_seed0.csv,
X-n242-k48,X,242,1,82751.0,48,84872.0,2.563111019806407,2.563111019806407,2.563111019806407,0.0,84872.0,0.0,1.0203259059999255,7.0,full_experiment_seed0.csv,
X-n2447-k290,XL,2447,1,,,530352.0,,,,0.0,530352.0,0.0,0.0036227949999556586,0.0,full_experiment_seed0.csv,
X-n247-k50,X,247,1,37274.0,51,40917.0,9.773568707409991,9.773568707409991,9.773568707409991,0.0,40917.0,0.0,1.1747704519998479,6.0,full_experiment_seed0.csv,
X-n2494-k194,XL,2494,1,,,584157.0,,,,0.0,584157.0,0.0,0.0034853980000661977,0.0,full_experiment_seed0.csv,
X-n251-k28,X,251,1,38684.0,28,40644.0,5.066694240512874,5.066694240512874,5.066694240512874,0.0,40644.0,0.0,1.081352354000046,18.0,full_experiment_seed0.csv,
X-n2541-k121,XL,2541,1,,,598013.0,,,,0.0,598013.0,0.0,0.002446882000185724,0.0,full_experiment_seed0.csv,
X-n256-k16,X,256,1,18839.0,16,20788.0,10.34555974308615,10.34555974308615,10.34555974308615,0.0,20788.0,0.0,1.2466317530002016,7.0,full_experiment_seed0.csv,
X-n2587-k66,XL,2587,1,,,440851.0,,,,0.0,440851.0,0.0,0.003308423999897059,0.0,full_experiment_seed0.csv,
X-n261-k13,X,261,1,26558.0,13,28735.0,8.19715340010543,8.19715340010543,8.19715340010543,0.0,28735.0,0.0,1.2624627190002684,8.0,full_experiment_seed0.csv,
X-n2634-k17,XL,2634,1,,,455592.0,,,,0.0,455592.0,0.0,0.002472827000019606,0.0,full_experiment_seed0.csv,
X-n266-k58,X,266,1,75478.0,58,78550.0,4.0700601499774764,4.0700601499774764,4.0700601499774764,0.0,78550.0,0.0,1.0060883990004186,5.0,full_experiment_seed0.csv,
X-n2681-k540,XL,2681,1,,,1353848.0,,,,0.0,1353848.0,0.0,0.008351057000254514,0.0,full_experiment_seed0.csv,
X-n270-k35,X,270,1,35291.0,36,37148.0,5.261964806891275,5.261964806891275,5.261964806891275,0.0,37148.0,0.0,1.025347304999741,7.0,full_experiment_seed0.csv,
